"","stationNr","stationName","stationArea","stationAreaNr"
"1",1,"TAC01","Kure",1
"2",2,"TAC02","Kure",1
"3",3,"TAC03","Kure",1
"4",4,"TAC05","Kure",1
"5",5,"TAC06","Kure",1
"6",6,"TAC07","Kure",1
"7",7,"TAC08","Kure",1
"8",8,"TAC09","Kure",1
"9",9,"TAC10","Kure",1
"10",10,"TAR01","Soku",2
"11",11,"TAR02","Soku",2
"12",12,"TAR03","Soku",2
"13",13,"TAR04","Soku",2
"14",14,"TAR05","Soku",2
"15",15,"TAR06","Soku",2
"16",16,"TAR07","Soku",2
"17",17,"TAR08","Soku",2
"18",18,"TAR09","Soku",2
"19",19,"TAR10","Soku",2
"20",20,"TAR11","Soku",2
"21",21,"TAR12","Soku",2
"22",22,"TAR13","Soku",2
"23",23,"TAR14","Soku",2
"24",24,"TAR15","Soku",2
"25",25,"TAR16","Soku",2
"26",26,"TAR17","Soku",2
"27",27,"TAR18","Soku",2
"28",28,"TAR19","Soku",2
"29",29,"TAR20","Soku",2
"30",30,"TAR21","Soku",2
"31",31,"TAR22","Soku",2
"32",32,"TAR23","Soku",2
"33",33,"TAR24","Soku",2
"34",34,"TAR25","Soku",2
"35",35,"TAR26","Soku",2
"36",36,"TAR27","Soku",2
"37",37,"TAR28","Soku",2
"38",38,"TAR29","Soku",2
"39",39,"TAR30","Soku",2
"40",40,"TAR31","Soku",2
"41",41,"TAR32","Soku",2
"42",42,"TAR33","Soku",2
"43",43,"TAR34","Soku",2
"44",44,"TAR35","Soku",2
"45",45,"TAR36","Soku",2
"46",46,"TAR37","Soku",2
"47",47,"TAR38","Soku",2
"48",48,"TAR39","Soku",2
"49",49,"TAR40","Soku",2
"50",50,"TAR41","Soku",2
"51",51,"TAR42","Soku",2
"52",52,"TAR43","Soku",2
"53",53,"TAR44","Soku",2
"54",54,"TAR45","Soku",2
"55",55,"TAR46","Soku",2
"56",56,"TAR47","Soku",2
"57",57,"TAR48","Soku",2
"58",58,"TAR49","Soku",2
"59",59,"TAR50","Soku",2
"60",60,"TBA01","Bakacak",3
"61",61,"TBA02","Bakacak",3
"62",62,"TBA03","Bakacak",3
"63",63,"TBA04","Bakacak",3
"64",64,"TBA05","Bakacak",3
"65",65,"TBA06","Bakacak",3
"66",66,"TBA07","Bakacak",3
"67",67,"TBA08","Bakacak",3
"68",68,"TBA09","Bakacak",3
"69",69,"TBA10","Bakacak",3
"70",70,"TBA11","Bakacak",3
"71",71,"TBA12","Bakacak",3
"72",72,"TBA13","Bakacak",3
"73",73,"TBA14","Bakacak",3
"74",74,"TDA01","Daday",4
"75",75,"TDA02","Daday",4
"76",76,"TDA03","Daday",4
"77",77,"TDA04","Daday",4
"78",78,"TDA05","Daday",4
"79",79,"TDA06","Daday",4
"80",80,"TDA07","Daday",4
"81",81,"TDA08","Daday",4
"82",82,"TDA09","Daday",4
"83",83,"TDA10","Daday",4
"84",84,"TDA11","Daday",4
"85",85,"TDA12","Daday",4
"86",86,"TDA13","Daday",4
"87",87,"TEL01","Elekdag",5
"88",88,"TEL02","Elekdag",5
"89",89,"TEL03","Elekdag",5
"90",90,"TEL04","Elekdag",5
"91",91,"TEL05","Elekdag",5
"92",92,"TEL06","Elekdag",5
"93",93,"TEL07","Elekdag",5
"94",94,"TEL08","Elekdag",5
"95",95,"TEL09","Elekdag",5
"96",96,"TEL10","Elekdag",5
"97",97,"TEL11","Elekdag",5
"98",98,"TEL12","Elekdag",5
"99",99,"TEL13","Elekdag",5
"100",100,"TIL01","Ilgaz",6
"101",101,"TIL02","Ilgaz",6
"102",102,"TIL03","Ilgaz",6
"103",103,"TIL04","Ilgaz",6
"104",104,"TIL05","Ilgaz",6
"105",105,"TIL06","Ilgaz",6
"106",106,"TIL07","Ilgaz",6
"107",107,"TIL08","Ilgaz",6
"108",108,"TIL09","Ilgaz",6
"109",109,"TIL10","Ilgaz",6
"110",110,"TIL11","Ilgaz",6
"111",111,"TIL12","Ilgaz",6
"112",112,"TIL13","Ilgaz",6
"113",113,"TIL14","Ilgaz",6
"114",114,"TIL15","Ilgaz",6
"115",115,"TIL16","Ilgaz",6
"116",116,"TIL17","Ilgaz",6
"117",117,"TIL18","Ilgaz",6
"118",118,"TIL19","Ilgaz",6
"119",119,"TKA01","Kartdag",7
"120",120,"TKA02","Kartdag",7
"121",121,"TKA03","Kartdag",7
"122",122,"TKA04","Kartdag",7
"123",123,"TKA05","Kartdag",7
"124",124,"TKA06","Kartdag",7
"125",125,"TKA07","Kartdag",7
"126",126,"TKA08","Kartdag",7
"127",127,"TKA09","Kartdag",7
"128",128,"TKA10","Kartdag",7
"129",129,"TKA11","Kartdag",7
"130",130,"TKA12","Kartdag",7
"131",131,"TKA13","Kartdag",7
"132",132,"TKA14","Kartdag",7
"133",133,"TKA15","Kartdag",7
"134",134,"TKA16","Kartdag",7
"135",135,"TKA17","Kartdag",7
"136",136,"TKA18","Kartdag",7
"137",137,"TKA19","Kartdag",7
"138",138,"TKA20","Kartdag",7
"139",139,"TKG01","Kurtgirmez",8
"140",140,"TKG02","Kurtgirmez",8
"141",141,"TKG03","Kurtgirmez",8
"142",142,"TKG04","Kurtgirmez",8
"143",143,"TKG05","Kurtgirmez",8
"144",144,"TKG06","Kurtgirmez",8
"145",145,"TKG07","Kurtgirmez",8
"146",146,"TTO01","Gavurdagi",9
"147",147,"TTO02","Gavurdagi",9
"148",148,"TTO03","Gavurdagi",9
"149",149,"TTO04","Gavurdagi",9
"150",150,"TTO05","Gavurdagi",9
"151",151,"TTO06","Gavurdagi",9
"152",152,"TTO07","Gavurdagi",9
"153",153,"TTO08","Gavurdagi",9
"154",154,"TTO09","Gavurdagi",9
"155",155,"TTO10","Gavurdagi",9
"156",156,"TTO11","Gavurdagi",9
"157",157,"TTO12","Gavurdagi",9
"158",158,"TUL01","Uluyayla",10
"159",159,"TUL02","Uluyayla",10
"160",160,"TUL03","Uluyayla",10
"161",161,"TUL04","Uluyayla",10
"162",162,"TUL05","Uluyayla",10
"163",163,"TUL06","Uluyayla",10
"164",164,"TUL07","Uluyayla",10
"165",166,"TUL09","Uluyayla",10
"166",167,"TUL10","Uluyayla",10
"167",168,"TUL11","Uluyayla",10
"168",170,"TUL13","Uluyayla",10
"169",171,"TUL14","Uluyayla",10
"170",172,"TUL15","Uluyayla",10
"171",173,"TUL16","Uluyayla",10
